preprocessing,sample_mode,element,unit,r2,mse,rmse,rrmse,mae,mape,wrmse
Not Processed,Dried,Al,ppm,-3.4834,0.0358,0.1892,0.0422,0.1386,0.2901,0.1466
Not Processed,Dried,B,ppm,-3.0443,0.0443,0.2105,0.0498,0.15,1.58E+13,0.1883
Not Processed,Dried,Ca,pct,-1.3745,0.0286,0.1692,0.0405,0.1219,0.2672,0.131
Not Processed,Dried,Cu,ppm,-2.398,0.0637,0.2524,0.0571,0.1706,1.38E+13,0.1955
Not Processed,Dried,Fe,ppm,-4.6213,0.0731,0.2704,0.0605,0.196,1.90E+13,0.2095
Not Processed,Dried,Mg,pct,-0.7027,0.0293,0.1713,0.0403,0.128,4.00E+13,0.1327
Not Processed,Dried,Mn,ppm,-1.1456,0.0309,0.1758,0.0393,0.1256,1.78E+13,0.1573
Not Processed,Dried,N,pct,-6.7789,0.0774,0.2783,0.0638,0.2027,0.4436,0.2783
Not Processed,Dried,P,pct,-3.7017,0.0608,0.2465,0.0547,0.1932,1.09E+12,0.2465
Not Processed,Dried,K,pct,-2.2323,0.0386,0.1964,0.0434,0.1435,0.2848,0.1964
Not Processed,Dried,Na,pct,-4.0992,0.0413,0.2032,0.0476,0.1429,2.77E+13,0
Not Processed,Dried,S,pct,-3.8052,0.0563,0.2372,0.0527,0.1784,8.54E+12,0.1837
Not Processed,Dried,Zn,ppm,-2.4042,0.0389,0.1972,0.0438,0.1514,1.85E+12,0.1527
Not Processed,Fresh,Al,ppm,-1.1006,0.0165,0.1283,0.0336,0.1042,0.2122,0.0994
Not Processed,Fresh,B,ppm,-0.3277,0.0179,0.1339,0.0367,0.106,9.10E+12,0.1197
Not Processed,Fresh,Ca,pct,-0.5213,0.0162,0.1273,0.0349,0.0937,0.2312,0.0986
Not Processed,Fresh,Cu,ppm,-0.6365,0.0586,0.242,0.0619,0.1696,7.06E+13,0.1875
Not Processed,Fresh,Fe,ppm,-1.0617,0.0276,0.1662,0.0436,0.1303,1.68E+13,0.1288
Not Processed,Fresh,Mg,pct,-0.8592,0.0186,0.1362,0.0362,0.104,0.2251,0.1055
Not Processed,Fresh,Mn,ppm,-1.0314,0.0269,0.1642,0.044,0.121,1.92E+13,0.1468
