element,sample_mode,preprocessing,r2,rmse
Al,Dried,Baseline Corrected,0.4826,0.0643
B,Dried,Baseline Corrected,0.5856,0.0674
Ca,Dried,Baseline Corrected,0.3991,0.0851
Cu,Dried,Baseline Corrected,0.1923,0.1231
Fe,Dried,Baseline Corrected,0.2157,0.101
Mg,Dried,Baseline Corrected,0.5129,0.0916
Mn,Dried,Baseline Corrected,0.3002,0.1004
N,Dried,Baseline Corrected,0.3211,0.0822
P,Dried,Baseline Corrected,0.4044,0.0877
K,Dried,Baseline Corrected,0.5673,0.0719
Na,Dried,Baseline Corrected,0.2697,0.0769
S,Dried,Baseline Corrected,0.2917,0.0911
Zn,Dried,Baseline Corrected,0.1881,0.0963
Al,Fresh,Baseline Corrected,-0.6162,0.1126
B,Fresh,Baseline Corrected,0.3558,0.0933
Ca,Fresh,Baseline Corrected,0.1927,0.0928
Cu,Fresh,Baseline Corrected,0.0735,0.1821
Fe,Fresh,Baseline Corrected,-0.2954,0.1318
Mg,Fresh,Baseline Corrected,-0.8672,0.1365
Mn,Fresh,Baseline Corrected,-0.2168,0.127
N,Fresh,Baseline Corrected,-0.5263,0.0987
P,Fresh,Baseline Corrected,-3.3451,0.2235
K,Fresh,Baseline Corrected,-2.0578,0.1598
Na,Fresh,Baseline Corrected,-0.6909,0.1053
S,Fresh,Baseline Corrected,-7.2371,0.2156
Zn,Fresh,Baseline Corrected,-5.5414,0.2153
Al,Dried,Not Processed,0.4626,0.0655
B,Dried,Not Processed,0.6593,0.0611
Ca,Dried,Not Processed,0.5261,0.0756
Cu,Dried,Not Processed,0.3743,0.1083
Fe,Dried,Not Processed,0.1636,0.1043
Mg,Dried,Not Processed,0.5552,0.0875
Mn,Dried,Not Processed,0.4675,0.0876
N,Dried,Not Processed,0.381,0.0785
P,Dried,Not Processed,0.4918,0.081
K,Dried,Not Processed,0.6038,0.0688
Na,Dried,Not Processed,0.3436,0.0729
S,Dried,Not Processed,0.2338,0.0947
Zn,Dried,Not Processed,0.3452,0.0865
Al,Fresh,Not Processed,0.0888,0.0845
B,Fresh,Not Processed,0.3406,0.0943
Ca,Fresh,Not Processed,0.2431,0.0898
Cu,Fresh,Not Processed,0.1306,0.1764
Fe,Fresh,Not Processed,-0.0607,0.1192
Mg,Fresh,Not Processed,0.5098,0.0699
Mn,Fresh,Not Processed,0.2037,0.1028
N,Fresh,Not Processed,0.057,0.0776
P,Fresh,Not Processed,-0.2423,0.1195
K,Fresh,Not Processed,0.1297,0.0852
Na,Fresh,Not Processed,0.0099,0.0806
S,Fresh,Not Processed,-0.9146,0.104
Zn,Fresh,Not Processed,-0.2557,0.0943
