sample_mode,preprocessing,element,r2,rmse
Dried,Baseline Corrected,Al,0.5647,0.059
Dried,Baseline Corrected,B,0.6149,0.065
Dried,Baseline Corrected,Ca,0.5104,0.0768
Dried,Baseline Corrected,Cu,0.2652,0.1174
Dried,Baseline Corrected,Fe,0.2953,0.0957
Dried,Baseline Corrected,Mg,0.5096,0.0919
Dried,Baseline Corrected,Mn,0.3021,0.1003
Dried,Baseline Corrected,N,0.453,0.0738
Dried,Baseline Corrected,P,0.4968,0.0806
Dried,Baseline Corrected,K,0.5582,0.0726
Dried,Baseline Corrected,Na,0.3647,0.0717
Dried,Baseline Corrected,S,0.2742,0.0922
Dried,Baseline Corrected,Zn,0.2859,0.0903
Fresh,Baseline Corrected,Al,0.1077,0.0836
Fresh,Baseline Corrected,B,-0.0215,0.1174
Fresh,Baseline Corrected,Ca,-0.0348,0.105
Fresh,Baseline Corrected,Cu,-0.2608,0.2125
Fresh,Baseline Corrected,Fe,0.1375,0.1075
Fresh,Baseline Corrected,Mg,0.297,0.0838
Fresh,Baseline Corrected,Mn,0.1139,0.1084
Fresh,Baseline Corrected,N,-0.0177,0.0806
Fresh,Baseline Corrected,P,-0.0175,0.1082
Fresh,Baseline Corrected,K,0.1352,0.085
Fresh,Baseline Corrected,Na,0.2216,0.0714
Fresh,Baseline Corrected,S,-0.2574,0.0842
Fresh,Baseline Corrected,Zn,-0.0819,0.0876
Dried,Not Processed,Al,0.3728,0.0708
Dried,Not Processed,B,0.6253,0.0641
Dried,Not Processed,Ca,0.2737,0.0936
Dried,Not Processed,Cu,0.3457,0.1108
Dried,Not Processed,Fe,0.0699,0.11
Dried,Not Processed,Mg,0.343,0.1064
Dried,Not Processed,Mn,0.1974,0.1075
Dried,Not Processed,N,0.251,0.0864
Dried,Not Processed,P,0.4369,0.0853
Dried,Not Processed,K,0.2939,0.0918
Dried,Not Processed,Na,0.2025,0.0804
Dried,Not Processed,S,0.0978,0.1028
Dried,Not Processed,Zn,0.385,0.0838
Fresh,Not Processed,Al,0.0991,0.084
Fresh,Not Processed,B,0.2666,0.0995
Fresh,Not Processed,Ca,0.3144,0.0855
Fresh,Not Processed,Cu,0.1206,0.1774
Fresh,Not Processed,Fe,0.2654,0.0992
Fresh,Not Processed,Mg,0.4445,0.0745
Fresh,Not Processed,Mn,0.0801,0.1105
Fresh,Not Processed,N,0.2786,0.0678
Fresh,Not Processed,P,0.0852,0.1026
Fresh,Not Processed,K,0.3346,0.0745
Fresh,Not Processed,Na,0.2028,0.0723
Fresh,Not Processed,S,-0.0628,0.0775
Fresh,Not Processed,Zn,0.2437,0.0732
